"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R7";"0402R";1;"2k2";;;
2;"H3,H2,H4,H1";"HOLE_3.2mm";4;"HOLE_3.2mm";;;
3;"R8,R2,R6,R12,R9,R4,R2,R4";"0603R";8;"10k";;;
4;",,,,,,,,,,";"buzzardLabel";11;"";;;
5;"R10";"0603R";1;"2M";;;
6;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
7;"D2,D1,D5,D4";"DO-214_DIODE";4;"M3_DIODE";;;
8;"Q2,Q4";"DPAK";2;"PMOS-DPAK";;;
9;"R5";"0603R";1;"1M";;;
10;"K2,K1";"TERMINAL_KF235-5.0-2P";2;"TERMINAL_KF235-5.0-2P";;;
11;"Q1,Q6";"SOT-23-3";2;"NPN-SOT-23-3";;;
12;"G***";"Symbol-Front-Motor";1;"LOGO";;;
13;"Q5,Q3";"DPAK";2;"NMOS-DPAK";;;
14;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
15;"R13,R1";"0603R";2;"330R";;;
16;"REF**";"Logo-Back-SolderedFULL-20mm";1;"Logo-Front-SolderedFULL-20mm";;;
17;"R11,R3";"0603R";2;"1k";;;
18;"G***";"Logo-Front-Soldered-5mm";1;"LOGO";;;
19;"JP1";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
20;"D3";"0402LED";1;"purple";;;
21;"Ref**";"Version1.0.0.";1;"Val**";;;
22;"K3";"HEADER_MALE_3X1";1;"HEADER_MALE_3X1";;;
